,city,latitude,longitude,province,unnamed: 4,unnamed: 5,year,violations,incidents,rates,matched_geo_name,total_population,total_private_dwellings,population_density,pct_0_14,pct_15_64,pct_65_plus,avg_age,median_age,median_income,avg_income,low_income_households,total_visible_minority,not_visible_minority,no_diploma,highschool,post_secondary
765,Pictou County,45.5321,-62.6325,Nova Scotia,Royal Canadian Mounted Police,rural [12010],2013,Total violent Criminal Code violations [100],231.0,1049.0,Pictou,3186.0,1627.0,397.6,410,1885,890,47.7,51.5,47936,63952,3020,50,2975,590,670,1415
766,Pictou County,45.5321,-62.6325,Nova Scotia,Royal Canadian Mounted Police,rural [12010],2013,Total property crime violations [200],495.0,2247.85,Pictou,3186.0,1627.0,397.6,410,1885,890,47.7,51.5,47936,63952,3020,50,2975,590,670,1415
767,Pictou County,45.5321,-62.6325,Nova Scotia,Royal Canadian Mounted Police,rural [12010],2013,Total other Criminal Code violations [300],128.0,581.26,Pictou,3186.0,1627.0,397.6,410,1885,890,47.7,51.5,47936,63952,3020,50,2975,590,670,1415
768,Digby,44.6222,-65.7566,Nova Scotia,municipal [12012],,2013,"Total, all Criminal Code violations (excluding traffic) [50]",,,Digby,7107.0,4048.0,4.3,895,4500,1710,46.7,50.7,47202,61052,7100,360,6735,2060,1575,2555
769,Digby,44.6222,-65.7566,Nova Scotia,municipal [12012],,2013,Total violent Criminal Code violations [100],,,Digby,7107.0,4048.0,4.3,895,4500,1710,46.7,50.7,47202,61052,7100,360,6735,2060,1575,2555
770,Digby,44.6222,-65.7566,Nova Scotia,municipal [12012],,2013,Total property crime violations [200],,,Digby,7107.0,4048.0,4.3,895,4500,1710,46.7,50.7,47202,61052,7100,360,6735,2060,1575,2555
771,Digby,44.6222,-65.7566,Nova Scotia,municipal [12012],,2013,Total other Criminal Code violations [300],,,Digby,7107.0,4048.0,4.3,895,4500,1710,46.7,50.7,47202,61052,7100,360,6735,2060,1575,2555
772,Glace Bay,46.1969,-59.957,Nova Scotia,municipal [12014],,2013,"Total, all Criminal Code violations (excluding traffic) [50]",,,Mahone Bay,1036.0,571.0,332.1,110,535,390,53.4,57.7,53035,64499,975,15,955,110,210,545
773,Glace Bay,46.1969,-59.957,Nova Scotia,municipal [12014],,2013,Total violent Criminal Code violations [100],,,Mahone Bay,1036.0,571.0,332.1,110,535,390,53.4,57.7,53035,64499,975,15,955,110,210,545
774,Glace Bay,46.1969,-59.957,Nova Scotia,municipal [12014],,2013,Total property crime violations [200],,,Mahone Bay,1036.0,571.0,332.1,110,535,390,53.4,57.7,53035,64499,975,15,955,110,210,545
775,Glace Bay,46.1969,-59.957,Nova Scotia,municipal [12014],,2013,Total other Criminal Code violations [300],,,Mahone Bay,1036.0,571.0,332.1,110,535,390,53.4,57.7,53035,64499,975,15,955,110,210,545
776,Richmond County,45.7103,-60.5615,Nova Scotia,Royal Canadian Mounted Police,rural [12016],2013,"Total, all Criminal Code violations (excluding traffic) [50]",366.0,3945.67,"Richmond, Subd. C",3150.0,1621.0,24.3,365,1955,825,48.1,52.3,55014,67648,3115,60,3060,825,540,1455
777,Richmond County,45.7103,-60.5615,Nova Scotia,Royal Canadian Mounted Police,rural [12016],2013,Total violent Criminal Code violations [100],119.0,1282.88,"Richmond, Subd. C",3150.0,1621.0,24.3,365,1955,825,48.1,52.3,55014,67648,3115,60,3060,825,540,1455
778,Richmond County,45.7103,-60.5615,Nova Scotia,Royal Canadian Mounted Police,rural [12016],2013,Total property crime violations [200],159.0,1714.1,"Richmond, Subd. C",3150.0,1621.0,24.3,365,1955,825,48.1,52.3,55014,67648,3115,60,3060,825,540,1455
779,Richmond County,45.7103,-60.5615,Nova Scotia,Royal Canadian Mounted Police,rural [12016],2013,Total other Criminal Code violations [300],88.0,948.68,"Richmond, Subd. C",3150.0,1621.0,24.3,365,1955,825,48.1,52.3,55014,67648,3115,60,3060,825,540,1455
