CITY,Latitude,Longitude,PROVINCE,,,YEAR,VIOLATIONS,INCIDENTS,RATES
New Glasgow Region,45.59256,-62.645458,Nova Scotia,municipal [12058],,2010,Total other Criminal Code violations [300],299,3080.57
Trenton,45.6101,-62.638,Nova Scotia,municipal [12059],,2010,"Total, all Criminal Code violations (excluding traffic) [50]",87,3231.8
Trenton,45.6101,-62.638,Nova Scotia,municipal [12059],,2010,Total violent Criminal Code violations [100],36,1337.3
Trenton,45.6101,-62.638,Nova Scotia,municipal [12059],,2010,Total property crime violations [200],14,520.06
Trenton,45.6101,-62.638,Nova Scotia,municipal [12059],,2010,Total other Criminal Code violations [300],37,1374.44
Eskasoni,45.9485,-60.6012,Nova Scotia,municipal [12065],,2010,"Total, all Criminal Code violations (excluding traffic) [50]",,
Eskasoni,45.9485,-60.6012,Nova Scotia,municipal [12065],,2010,Total violent Criminal Code violations [100],,
Eskasoni,45.9485,-60.6012,Nova Scotia,municipal [12065],,2010,Total property crime violations [200],,
Eskasoni,45.9485,-60.6012,Nova Scotia,municipal [12065],,2010,Total other Criminal Code violations [300],,
Halifax Metropolitan Area,44.65107,-63.582687,Nova Scotia,municipal [12099],,2010,"Total, all Criminal Code violations (excluding traffic) [50]",29623,7438.29
Halifax Metropolitan Area,44.65107,-63.582687,Nova Scotia,municipal [12099],,2010,Total violent Criminal Code violations [100],6240,1566.85
Halifax Metropolitan Area,44.65107,-63.582687,Nova Scotia,municipal [12099],,2010,Total property crime violations [200],19619,4926.3
Halifax Metropolitan Area,44.65107,-63.582687,Nova Scotia,municipal [12099],,2010,Total other Criminal Code violations [300],3764,945.13
Halifax (offshore),45.161367,-62.200505,Nova Scotia,Royal Canadian Mounted Police,rural [12700],2010,"Total, all Criminal Code violations (excluding traffic) [50]",1,0
Halifax (offshore),45.161367,-62.200505,Nova Scotia,Royal Canadian Mounted Police,rural [12700],2010,Total violent Criminal Code violations [100],0,0
Halifax (offshore),45.161367,-62.200505,Nova Scotia,Royal Canadian Mounted Police,rural [12700],2010,Total property crime violations [200],1,0
Halifax (offshore),45.161367,-62.200505,Nova Scotia,Royal Canadian Mounted Police,rural [12700],2010,Total other Criminal Code violations [300],0,0
Barrington,43.5643,-64.907233,Nova Scotia,Royal Canadian Mounted Police,rural [12702],2010,"Total, all Criminal Code violations (excluding traffic) [50]",452,5633.8
Barrington,43.5643,-64.907233,Nova Scotia,Royal Canadian Mounted Police,rural [12702],2010,Total violent Criminal Code violations [100],151,1882.09
Barrington,43.5643,-64.907233,Nova Scotia,Royal Canadian Mounted Police,rural [12702],2010,Total property crime violations [200],207,2580.08
Barrington,43.5643,-64.907233,Nova Scotia,Royal Canadian Mounted Police,rural [12702],2010,Total other Criminal Code violations [300],94,1171.63
Annapolis County,44.828557,-65.5644,Nova Scotia,Royal Canadian Mounted Police,rural [12703],2010,"Total, all Criminal Code violations (excluding traffic) [50]",1329,6406.67
Annapolis County,44.828557,-65.5644,Nova Scotia,Royal Canadian Mounted Police,rural [12703],2010,Total violent Criminal Code violations [100],320,1542.61
Annapolis County,44.828557,-65.5644,Nova Scotia,Royal Canadian Mounted Police,rural [12703],2010,Total property crime violations [200],841,4054.18
Annapolis County,44.828557,-65.5644,Nova Scotia,Royal Canadian Mounted Police,rural [12703],2010,Total other Criminal Code violations [300],168,809.87
Lunenburg County,44.3789,-64.312,Nova Scotia,Royal Canadian Mounted Police,rural [12704],2010,"Total, all Criminal Code violations (excluding traffic) [50]",1804,4541.79
Lunenburg County,44.3789,-64.312,Nova Scotia,Royal Canadian Mounted Police,rural [12704],2010,Total violent Criminal Code violations [100],432,1087.61
Lunenburg County,44.3789,-64.312,Nova Scotia,Royal Canadian Mounted Police,rural [12704],2010,Total property crime violations [200],1190,2995.97
Lunenburg County,44.3789,-64.312,Nova Scotia,Royal Canadian Mounted Police,rural [12704],2010,Total other Criminal Code violations [300],182,458.21
Cape Breton,46.2487,-60.8518,Nova Scotia,Royal Canadian Mounted Police,rural [12705],2010,"Total, all Criminal Code violations (excluding traffic) [50]",,
Cape Breton,46.2487,-60.8518,Nova Scotia,Royal Canadian Mounted Police,rural [12705],2010,Total violent Criminal Code violations [100],,
Cape Breton,46.2487,-60.8518,Nova Scotia,Royal Canadian Mounted Police,rural [12705],2010,Total property crime violations [200],,
Cape Breton,46.2487,-60.8518,Nova Scotia,Royal Canadian Mounted Police,rural [12705],2010,Total other Criminal Code violations [300],,
Chester,44.5423,-64.2388,Nova Scotia,Royal Canadian Mounted Police,rural [12706],2010,"Total, all Criminal Code violations (excluding traffic) [50]",,
Chester,44.5423,-64.2388,Nova Scotia,Royal Canadian Mounted Police,rural [12706],2010,Total violent Criminal Code violations [100],,
Chester,44.5423,-64.2388,Nova Scotia,Royal Canadian Mounted Police,rural [12706],2010,Total property crime violations [200],,
Chester,44.5423,-64.2388,Nova Scotia,Royal Canadian Mounted Police,rural [12706],2010,Total other Criminal Code violations [300],,
Lower Sackville,44.7764,-63.6776,Nova Scotia,Royal Canadian Mounted Police,rural [12707],2010,"Total, all Criminal Code violations (excluding traffic) [50]",,
Lower Sackville,44.7764,-63.6776,Nova Scotia,Royal Canadian Mounted Police,rural [12707],2010,Total violent Criminal Code violations [100],,
Lower Sackville,44.7764,-63.6776,Nova Scotia,Royal Canadian Mounted Police,rural [12707],2010,Total property crime violations [200],,
Lower Sackville,44.7764,-63.6776,Nova Scotia,Royal Canadian Mounted Police,rural [12707],2010,Total other Criminal Code violations [300],,
Cole Harbour,44.6727,-63.4783,Nova Scotia,Royal Canadian Mounted Police,rural [12708],2010,"Total, all Criminal Code violations (excluding traffic) [50]",,
Cole Harbour,44.6727,-63.4783,Nova Scotia,Royal Canadian Mounted Police,rural [12708],2010,Total violent Criminal Code violations [100],,
Cole Harbour,44.6727,-63.4783,Nova Scotia,Royal Canadian Mounted Police,rural [12708],2010,Total property crime violations [200],,
Cole Harbour,44.6727,-63.4783,Nova Scotia,Royal Canadian Mounted Police,rural [12708],2010,Total other Criminal Code violations [300],,
Digby,44.6222,-65.7566,Nova Scotia,Royal Canadian Mounted Police,rural [12709],2010,"Total, all Criminal Code violations (excluding traffic) [50]",320,4109.94
Digby,44.6222,-65.7566,Nova Scotia,Royal Canadian Mounted Police,rural [12709],2010,Total violent Criminal Code violations [100],94,1207.3
Digby,44.6222,-65.7566,Nova Scotia,Royal Canadian Mounted Police,rural [12709],2010,Total property crime violations [200],184,2363.22
Digby,44.6222,-65.7566,Nova Scotia,Royal Canadian Mounted Police,rural [12709],2010,Total other Criminal Code violations [300],42,539.43
Digby,44.6222,-65.7566,Nova Scotia,Royal Canadian Mounted Police,municipal [12711],2010,"Total, all Criminal Code violations (excluding traffic) [50]",222,10235.13
Digby,44.6222,-65.7566,Nova Scotia,Royal Canadian Mounted Police,municipal [12711],2010,Total violent Criminal Code violations [100],65,2996.77
